ulasan
belanja memuaskan
parah asli nyusahin tiap order selalu gagal no virtual acount hilang ga ada tau kmna di ulang bgitu terus kita mo belanja tiap mo bayar invoice lenyap ga da jekak
terimakasih
barangnya sesuai deskripsi..
good
oke
mantap
Tolong dong di perbaiki lagi .. masa untuk gratis ongkir gak ada sama sekali
aplikasi bagus banyak barang menarik tapi tolong seller yang ga niat jualan di kenai penalti atau apa saya pesan barang 2x berturut turut dibatalkan penjualan nya karena tidak di jawab
"iklannya ganggu,... masa lagi ngetik WA iklan muncul gangu banget"
keren
jelek amat aplikasinya masa mau beli diskonnya ga bisa kepakai
"balik download Tokped Krn ada yang mau di cari, eh kok nih apk malah makin busuk ngalah-ngalahin apk sebelah. Ketik pencarian aja eror, nggak ada sinyal katanya. GK jelas blas, kalau sinyal busuk kenapa gw masih bisa buka apk lain di hp 😁"
sering error
Tokopedia
tolong jgn kirim lagi kirim lagi iklan ini sangat mengganggu sekali sungguh sungguh
pengiriman cepat dan aman.barang ya ga ada yg mengecewakan
baik
"diskonnya hilang waktu check out, jadi harga normal."
"saya ubah komenan saya, sekarang kok tokopedia udah ngak ngasih gratis ongkir padahal dulu suka gratis ongkir tiap hari.saya kasih bintang lima karna biar kalian semua bisa baca komenan saya."
"2,,,10. 8 9 11121121 2 31 %23:100 2"
terimakasih barang sesuai
mahal banget barang di sini di bandingkan dengan shopee. ongkir nya juga 2x lipat dari shopee. contohnya helm kyt di shope cuman 470rb ongkir 80rb di sini harganya 530rb ongkir 190rb.
saya butuh bantuan masalah tokopedia card saya
App bagus buat belanja online. banyak promosi dan gratis ongkir
"perbaiki bug nya yaampun, login aja dipersulit. kalo mau org lokal pake aplikasi lokal jangan diribetin dongg."
harga disini mahal mahal di Shopee oren barang apa aja tersedia dan murah
lama kelamaan aplikasi nya berat
biar bintang yg bicara
"saya pengguna setiap tokped, tp kenapa sejak kemarin malam aplikasinya ketika dibuka langsung menutup sendiri ya? padahal biasanya tidak ada kendala"
udah mah ngebug trus.. barang ga dikirim kirim.. sekiranya ga niat jualan bubarin aja tokonya.. udah lebih dari batas pengiriman masih ga di kirim di chat toko nya ga ada respon.. baru kali ini kecewa di tokopedia
gak bisa COD ini gimana sih!?
belanja lebih gampang dan murah
iklan aja kalo main sba
banyak diskon nya
"saldo tokopedia kalau belum 10.000 belum bisa di ambil, sedangkan gabisa digunakan buat ngurangin harga barang, lah itu uang trus gimana? di anggurin aja gitu? kenapa ga di alihkan ke e-wallet aja sih"
memutuskan secara sepihak padahal yg salah penjual
Lancar
"Bintang satu jauh lebih baik dari pada tidak sama sekali. nunggu lama malah Pesanan di batalkan. kalau di shopee,lazada memang benar² reel dan memuaskan pelanggannya"
terimakasih Tokopedia
"ga lewat Paylater,jadi saya kasih bintang 1, dan ga akan belanja lagi di sini"
semangat belanja 🤩
gooooodddd
"kurirnya pemalas mengantar barang, di daerah bulukumba sulawesi selatan, suka suka mereka, walapun barang udah sampai ga di antar antar ke rumah, mohon kerja samanya dari tokped, tolong di tegur kurienya biar rajin dikit"
lumayan bagus
terimakasih telah membantu
Nice
Puas pakai aplikasi ini
"aplikasiny makin hari makin lemot, scroll cari produk berat banget"
banyak diskon
baik puas
mantap bagus
ok
puas
"Fitur pencariannya ngawor. Searching make keyword, yang gak ada di keyword ikut keluar"
banyak bag terus kalo salh pencet pembayaran terus mau cari barang lagi mau di batalin kagak bisa gimana sih
"mohon penjelasanya, kenapa setelah di update gak bisa buka apl toped ya......"
Sudah isi saldo iklan gmv max tiba-tiba akun logout tanpa bisa di login kembali. tanpa ada pemberitahuan yg jelas terkait pelanggaran apapun itu dan saldo hangus begitu saja
good servis
"skrg tdk layak, penuh penipu tanpa tindakan n sgt merugikan konsumen, tinggal tunggu hancurnya sdh"
Oke bagus sekali
"app sering error gangguan ,kasih diskon gajelas.. sampahh."
olshop paling rasional
